.
Cheiromeles torquatus
Corynorhinus mexicanus
Corynorhinus rafinesquii
Corynorhinus townsendii
Eptesicus brasiliensis
Eptesicus chiriquinus
Eptesicus furinalis
Eptesicus fuscus
Eptesicus gobiensis
Eptesicus hottentotus
Eptesicus nilssonii
Eptesicus pachyomus
Eptesicus serotinus
Eumops auripendulus
Eumops bonariensis
Eumops floridanus
Eumops glaucinus
Eumops hansae
Eumops perotis
Eumops underwoodi
Hipposideros armiger
Hipposideros bicolor
Hipposideros coxi
Hipposideros diadema
Hipposideros dyacorum
Hipposideros grandis
Hipposideros inornatus
Hipposideros kunzi
Hipposideros lankadiva
Hipposideros larvatus
Hipposideros lekaguli
Hipposideros lylei
Hipposideros obscurus
Hipposideros papua
Hipposideros pelingensis
Hipposideros ridleyi
Hipposideros rotalis
Hipposideros ruber
Hipposideros scutinares
Hipposideros speoris
Hipposideros turpis
Ia io
Lasiurus blossevillii
Lasiurus borealis
Lasiurus cinereus
Lasiurus ega
Lasiurus intermedius
Lasiurus seminolus
Lasiurus xanthinus
Lavia frons
Molossus alvarezi
Molossus aztecus
Molossus coibensis
Molossus molossus
Molossus pretiosus
Molossus rufus
Molossus sinaloae
Mops brachypterus
Mops condylurus
Mops leucostigma
Mops midas
Mops mops
Mops niveiventer
Mops sarasinorum
Mops thersites
Mormoops megalophylla
Nyctalus aviator
Nyctalus lasiopterus
Nyctalus leisleri
Nyctalus montanus
Nyctalus noctula
Nyctalus plancyi
Nycteris aurita
Nycteris grandis
Nycteris hispida
Nycteris javanica
Nycteris major
Nycteris thebaica
Nycteris tragata
Nyctinomops aurispinosus
Nyctinomops femorosaccus
Nyctinomops laticaudatus
Nyctinomops macrotis
Otomops madagascariensis
Otomops martiensseni
Otomops wroughtoni
Pteronotus davyi
Pteronotus gymnonotus
Pteronotus parnellii
Rhinolophus acuminatus
Rhinolophus affinis
Rhinolophus alcyone
Rhinolophus beddomei
Rhinolophus blasii
Rhinolophus canuti
Rhinolophus capensis
Rhinolophus chaseni
Rhinolophus clivosus
Rhinolophus creaghi
Rhinolophus darlingi
Rhinolophus deckenii
Rhinolophus eloquens
Rhinolophus euryale
Rhinolophus euryotis
Rhinolophus ferrumequinum
Rhinolophus formosae
Rhinolophus francisi
Rhinolophus fumigatus
Rhinolophus hildebrandtii
Rhinolophus hilli
Rhinolophus inops
Rhinolophus landeri
Rhinolophus luctoides
Rhinolophus luctus
Rhinolophus maendeleo
Rhinolophus mehelyi
Rhinolophus mossambicus
Rhinolophus pearsonii
Rhinolophus philippinensis
Rhinolophus rex
Rhinolophus robinsoni
Rhinolophus rouxii
Rhinolophus rufus
Rhinolophus ruwenzorii
Rhinolophus sedulus
Rhinolophus shameli
Rhinolophus sinicus
Rhinolophus smithersi
Rhinolophus subrufus
Rhinolophus thomasi
Rhinolophus trifoliatus
Rhinolophus willardi
Rhinolophus yunanensis
Scotophilus andrewreborii
Scotophilus dinganii
Scotophilus heathii
Scotophilus kuhlii
Scotophilus leucogaster
Scotophilus marovaza
Scotophilus nigrita
Scotophilus nux
Scotophilus robustus
Scotophilus viridis
Tadarida aegyptiaca
Tadarida brasiliensis
Tadarida fulminans
Tadarida insignis
Tadarida lobata
Tadarida teniotis
Tadarida ventralis
Taphozous longimanus
Taphozous mauritianus
Taphozous melanopogon
Taphozous nudiventris
Taphozous perforatus
Vespertilio murinus
Vespertilio sinensis
